Time,EEG
3.51,2668.161710811173
3.52,2810.933958375994
3.53,2910.727307494383
3.54,2949.5648959144196
3.55,2903.2525910711797
3.56,2708.0272076341353
3.57,2284.341171095363
3.58,1639.3319052225413
3.59,915.3847582579284
3.6,284.399316085355
3.61,-165.11935304873168
3.62,-440.9685720306022
3.63,-624.217521586403
3.64,-774.8489182729944
3.65,-850.7464431423863
3.66,-750.321072174843
3.67,-470.715920089681
3.68,-158.02888197833286
3.69,12.144133413230756
3.7,-37.274625326648376
3.71,-229.35066601952457
3.72,-382.9800421259377
3.73,-368.2870653300595
3.74,-198.74877146246078
3.75,18.182458771689145
3.76,206.92177121750726
3.77,376.8848557444994
3.78,608.75940894919
3.79,974.8866854667582
3.8,1444.0685951312807
3.81,1913.660452420326
3.82,2303.8670005654944
3.83,2577.1789606124357
3.84,2759.086358777271
3.85,2912.5093801147664
3.86,3069.37696995134
3.87,3213.818628547842
3.88,3339.3278391568
3.89,3430.7736272940183
3.9,3424.4227902385237
3.91,3288.837899870706
3.92,3063.68533858419
3.93,2786.690616708933
3.94,2504.0650768804016
3.95,2277.2490980537727
3.96,2096.8771861810956
3.97,1875.5149120172618
3.98,1598.395852743883
3.99,1330.1861569849634
4.0,1093.6570564402302
4.01,869.8528346250595
4.02,620.6423982102982
4.03,264.2688616953013
4.04,-271.56669835187296
4.05,-948.79674425335
4.06,-1632.8215472973022
4.07,-2207.7310516970856
4.08,-2609.151099131174
4.09,-2817.4055924532217
4.1,-2878.0488508269154
4.11,-2859.9983130639303
4.12,-2799.340844323192
4.13,-2685.361216698367
4.14,-2492.098913376362
4.15,-2227.391748244151
4.16,-1924.0682224917305
4.17,-1635.0826002448714
4.18,-1415.3159687788855
4.19,-1262.381380229341
4.2,-1144.0813627125647
4.21,-1029.2727178489265
4.22,-896.2860777614574
4.23,-746.3545846652697
4.24,-614.6864578034439
4.25,-535.8643123047913
4.26,-491.30248407032997
4.27,-441.6814143487495
4.28,-375.7057999236999
4.29,-271.1634234788126
4.3,-136.1987499738047
4.31,-41.50075370899952
4.32,-42.43608809344617
4.33,-135.95253355844702
4.34,-296.44768207682
4.35,-475.1439429200458
4.36,-586.9972685566167
4.37,-592.1824338084468
4.38,-529.5170601313473
4.39,-423.25656365730276
4.4,-277.89720841005703
4.41,-122.70344108452484
4.42,37.42881603638652
4.43,223.81816497236827
4.44,404.2508907529173
4.45,520.5126180037561
4.46,566.5913504703153
4.47,544.1947810962323
4.48,431.63765487655786
4.49,264.80720510128333
4.5,125.77392143363839
4.51,37.37063251633351
4.52,-21.722065514513382
4.53,-56.25313860841568
4.54,-75.70408224011607
4.55,-78.76321543194842
4.56,-26.980025817217903
4.57,99.0179743748447
4.58,257.1825418087274
4.59,370.491455029816
4.6,373.3272236426253
4.61,247.42024161242995
4.62,43.60199546378557
4.63,-171.83127403899076
4.64,-391.6470256170973
4.65,-608.5238522833341
4.66,-795.0935020972524
4.67,-952.0229455963758
4.68,-1058.7616277182503
4.69,-1068.076295340795
4.7,-1008.8304120658233
4.71,-966.3599790461932
4.72,-953.5082803853966
4.73,-941.2141543737237
4.74,-967.8411678997267
4.75,-1056.8157668004856
4.76,-1185.2744202665133
4.77,-1370.2275561156332
4.78,-1628.8028877505826
4.79,-1893.7023520476198
4.8,-2102.877011649968
4.81,-2267.24702015438
4.82,-2369.774104428302
4.83,-2363.19687967648
4.84,-2279.472510302852
4.85,-2161.1698888479987
4.86,-2001.114150703198
4.87,-1820.379860770068
4.88,-1676.0853583943253
4.89,-1567.1323424923792
4.9,-1475.7350055028685
4.91,-1438.7686010654368
4.92,-1455.411503550668
4.93,-1449.9114275187144
4.94,-1392.7240299760579
4.95,-1294.1615605435452
4.96,-1137.2321195586383
4.97,-930.9655334364829
4.98,-714.739296127592
4.99,-479.982966893969
5.0,-211.10611234487166
5.01,52.01231380632915
5.02,275.7211305778426
5.03,480.3844090537818
5.04,663.6735121529315
5.05,796.5617158461259
5.06,905.066646474132
5.07,1020.8385261259056
5.08,1136.3772886388015
5.09,1256.8695608480728
5.1,1404.6353389412118
5.11,1569.2590248592994
5.12,1713.9070635854796
5.13,1838.5786163471441
5.14,1964.8161707616196
5.15,2060.6979388885343
5.16,2081.7524160981156
5.17,2025.6484257795505
5.18,1918.700221992641
5.19,1790.011418485956
5.2,1685.7729435274298
5.21,1655.6875292586597
5.22,1678.5999396568234
5.23,1681.235266544405
5.24,1648.7398893003306
5.25,1598.4994014822635
5.26,1519.752670825182
5.27,1398.2758034811118
5.28,1253.9663247508004
5.29,1099.4688386162306
5.3,939.2913149766443
5.31,819.7004491518254
5.32,800.8113720357817
5.33,892.3499949134107
5.34,1091.4692458242716
5.35,1386.5280575401462
5.36,1716.438893515352
5.37,2002.141517621621
5.38,2194.96297842689
5.39,2255.9205206284973
5.4,2156.0082834946547
5.41,1896.5372158559892
5.42,1505.9614826634
5.43,1030.5323305680463
5.44,559.1022789268951
5.45,192.39792898469253
5.46,-18.0574293024263
5.47,-54.39077380825263
5.48,67.57729782279847
5.49,274.27273451526116
5.5,499.22642291903566
5.51,706.3246519242864
5.52,864.2284890463756
5.53,954.767169256372
5.54,981.6653930576908
5.55,936.2099031623286
5.56,805.5542795982228
5.57,616.1294506868123
5.58,395.8291819505947
5.59,136.222975682642
5.6,-175.37173118160155
5.61,-531.9102294348846
5.62,-932.3161603576277
5.63,-1353.2768236767486
5.64,-1737.219784795543
5.65,-2056.0529925307596
5.66,-2308.2722684064015
5.67,-2476.5417744269216
5.68,-2542.5985377789793
5.69,-2506.3896329169866
5.7,-2380.6403730301295
5.71,-2176.721200336543
5.72,-1923.4680272642383
5.73,-1662.871205328087
5.74,-1403.6663838532222
5.75,-1124.6107678333872
5.76,-826.6974300491014
5.77,-536.4269050755792
5.78,-285.3577975460208
5.79,-111.99897386318116
5.8,-43.745366571043164
5.81,-53.33009550551787
5.82,-78.9139991585887
5.83,-92.34157813131681
5.84,-90.93862271398238
5.85,-38.60842177738818
5.86,88.05370812916489
5.87,275.50324931839634
5.88,522.4931431867689
5.89,818.1468833298422
5.9,1106.089094054459
5.91,1323.7754352015952
5.92,1446.5993028764028
5.93,1467.730296226816
5.94,1378.8755986678327
5.95,1196.3898275434176
5.96,965.1607992342762
5.97,737.3180452519184
5.98,570.7304344300313
5.99,498.7781272905345
6.0,490.5450215975707
6.01,481.37519272368075
6.02,417.5456385310226
6.03,275.54403242378413
6.04,60.51045368694569
6.05,-218.65151250415542
6.06,-551.0720200889718
6.07,-908.3068736900997
6.08,-1252.2271526412328
6.09,-1534.9561893502935
6.1,-1713.293872262613
6.11,-1774.2520418479332
6.12,-1746.0146631967332
6.13,-1677.4702992612542
6.14,-1588.8688224308266
6.15,-1482.5098928482132
6.16,-1364.9797268798734
6.17,-1225.4530789298524
6.18,-1048.0347454526693
6.19,-843.1280992832033
6.2,-651.6157409622876
6.21,-495.6261287371904
6.22,-369.02205161711345
6.23,-282.22488726113613
6.24,-258.4811874565231
6.25,-289.38756265878385
6.26,-356.5066339417794
6.27,-455.01716114176804
6.28,-561.1097833683316
6.29,-626.3822810535536
6.3,-642.7125188015075
6.31,-648.60515219375
6.32,-678.5000181060091
6.33,-744.2613894492097
6.34,-867.4490905772452
6.35,-1060.308854368458
6.36,-1302.4001366990196
6.37,-1554.4934568205995
6.38,-1799.472390208505
6.39,-2040.567090121664
6.4,-2268.5805613412076
6.41,-2472.032060297611
6.42,-2644.9429811967416
6.43,-2733.6879633790336
6.44,-2669.0737123726835
6.45,-2462.9313382856544
6.46,-2183.865110225237
6.47,-1865.186032150551
6.48,-1531.9072585127462
6.49,-1224.3351083387595
6.5,-921.9690327070203
6.51,-589.7650534317942
6.52,-287.279363521768
6.53,-68.73997996594925
6.54,106.32159829085985
6.55,281.160605553403
6.56,464.476989565873
6.57,697.5407253463993
6.58,1013.3603702643717
6.59,1354.0891689857704
6.6,1656.0420783136817
6.61,1919.7649561450887
6.62,2123.359711574302
6.63,2205.78991284216
6.64,2134.8057056630437
6.65,1915.2706626600022
6.66,1550.5359946393046
6.67,1063.2610146509176
6.68,539.4594552598704
6.69,79.43129682889413
6.7,-257.61999018752067
6.71,-436.82111755038864
6.72,-424.5679775871946
6.73,-233.62306278318184
6.74,70.24137815683514
6.75,429.8898005639043
6.76,810.2441699346094
6.77,1145.8318866321779
6.78,1386.914787724624
6.79,1547.0029406019316
6.8,1662.3521272149367
6.81,1755.3858740818575
6.82,1862.6217447232127
6.83,2006.877300995322
6.84,2163.987992606851
6.85,2298.4060942779624
6.86,2403.5572008261374
